station_id,station_name,map_image_path,satellite_image_path,mobility_score,observed_subway_score,hidden_gap_score,temporal_score,visual_morphology_score,mobility_minus_subway_gap,hidden_demand_reconstruction_score_norm,station_type
2714,마들,images/station_tiles/satellite/2714_마들.png,images/station_tiles/satellite/2714_마들.png,0.3576390444516441,0.561911023449485,0.4552966251214072,0.7509216936300084,0.22115384615384615,0.2209342568965576,0.561911023449485,normal
2557,방이,images/station_tiles/satellite/2557_방이.png,images/station_tiles/satellite/2557_방이.png,0.3344589412581848,0.5275038351961429,0.4492756528523614,0.8562468382431774,0.14423076923076922,0.2453782344266534,0.5275038351961429,normal
4106,양천향교,images/station_tiles/satellite/4106_양천향교.png,images/station_tiles/satellite/4106_양천향교.png,0.3189592553545918,0.8669734823580978,0.4466542640177725,0.406489163668636,0.41346153846153844,0.2685710558689385,0.8669734823580978,directional_mismatch
2640,안암(고대병원앞),images/station_tiles/satellite/2640_안암(고대병원앞).png,images/station_tiles/satellite/2640_안암(고대병원앞).png,0.3492196425707738,0.5456936226166995,0.44445936983941,0.8452563480762137,0.14423076923076922,0.2122840959014438,0.5456936226166995,normal
2641,고려대(종암),images/station_tiles/satellite/2641_고려대(종암).png,images/station_tiles/satellite/2641_고려대(종암).png,0.3306241899705521,0.5459127766820074,0.43889418819324133,0.8532793610283097,0.23076923076923078,0.2308159469851542,0.5459127766820074,normal
2748,가산디지털단지,images/station_tiles/satellite/2748_가산디지털단지.png,images/station_tiles/satellite/2748_가산디지털단지.png,0.4514256632028451,0.569362261669954,0.43801872670326375,0.9457829106731191,0.15384615384615385,0.1094110687131117,0.569362261669954,subway_high_mobility_low
2746,대림(구로구청),images/station_tiles/satellite/2746_대림(구로구청).png,images/station_tiles/satellite/2746_대림(구로구청).png,0.3259295745862287,0.5689239535393381,0.43763891514765385,0.8960415229982053,0.1346153846153846,0.23647578286872,0.5689239535393381,normal
2817,송파,images/station_tiles/satellite/2817_송파.png,images/station_tiles/satellite/2817_송파.png,0.3253637705191366,0.5844838921761999,0.43599773006822734,0.9085928454388285,0.18269230769230768,0.2340728410442165,0.5844838921761999,normal
2745,신풍,images/station_tiles/satellite/2745_신풍.png,images/station_tiles/satellite/2745_신풍.png,0.3354579651692291,0.5687047994740303,0.4342936310201594,0.9160054820278055,0.23076923076923078,0.2133784431782975,0.5687047994740303,normal
420,혜화,images/station_tiles/satellite/420_혜화.png,images/station_tiles/satellite/420_혜화.png,0.4913502094846197,0.05917159763313609,0.43258585927824206,0.6705401490133822,0.21153846153846154,0.0883731242350262,0.05917159763313609,subway_high_mobility_low
2548,천호(풍납토성),images/station_tiles/satellite/2548_천호(풍납토성).png,images/station_tiles/satellite/2548_천호(풍납토성).png,0.3893978152306184,0.5255314486083716,0.43161251796013944,0.7610066166095799,0.1346153846153846,0.1410386195482601,0.5255314486083716,normal
2559,개롱,images/station_tiles/satellite/2559_개롱.png,images/station_tiles/satellite/2559_개롱.png,0.3163951861834003,0.5279421433267587,0.4285165080515351,0.8822237229808985,0.25,0.2348282650144906,0.5279421433267587,normal
4710,정릉,images/station_tiles/satellite/4710_정릉.png,images/station_tiles/satellite/4710_정릉.png,0.2957096171386302,0.9993425378040762,0.42426690003541273,0.7808445625156314,0.2403846153846154,0.2686439499689728,0.9993425378040762,directional_mismatch
