priority_rank,station_id,nearest_station,nearest_line,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,quad_signature,reconstruction_label,reconstructed_latent_demand_score,axis_observed_subway_score,hidden_demand_reconstruction_score,hidden_demand_reconstruction_score_norm,axis_mobility_demand_score,axis_hidden_gap_score,axis_temporal_dynamics_score,axis_visual_morphology_score,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share
67,2559,개롱,5호선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.38434344526479935,0.0815669211689096,0.30277652409588973,0.6677744948650232,0.3254498849418156,0.4504670673201928,0.3308565202213256,0.5910292616666892,117179488.02,66360408,0.2348282650144906,0.0522823578044167
68,2615,연신내,6호선,Low Demand / Peripheral,Behavioral Hidden Demand,Stable Low-Intensity Area,M-S-H+V-T-,Low Priority,0.30265833872103126,0.0,0.30265833872103126,0.6676903088066604,0.2485443925418,0.5017710956221917,0.2436432361965264,0.1664194093236811,93006426.98,3434,0.2507569543319379,0.1079108886975974
69,2614,독바위,6호선,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,M+S-H+V-T-,High Priority Hidden Demand,0.33275032368629603,0.0332528678788666,0.2994974558074294,0.6654387419460293,0.327246013963749,0.5873427455094071,0.1671929654940894,0.0521533792643936,66583902.120000005,27055573,0.1457577813412834,0.2955610335743416
70,4134,송파나루,9호선(연장),Low Demand / Peripheral,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M-S-H+V+T+,Morphology-Supported Hidden Demand,0.34191764705231303,0.0431552179266917,0.29876242912562134,0.6649151661718943,0.2310095489519077,0.40014191995192,0.2728520068795309,0.8335746866006839,96112123.17,35111412,0.2160347770632787,0.0
71,2747,남구로,7호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.4424374847583571,0.1437484148440438,0.2986890699143133,0.6648629107819866,0.3966217690200629,0.4361619339671566,0.4539475804706198,0.6412768911341571,157225083.44,116946794,0.2813844306890896,0.0
72,2817,송파,8호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.38726762546376936,0.09129092947492,0.29597669598884935,0.6629308268006613,0.3089864992647683,0.4100843034436742,0.3410777719809928,0.7748707053750655,120482412.71,74271161,0.2340728410442165,0.0
73,2746,대림(구로구청),7호선,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.38246856210646596,0.0894537917175086,0.29301477038895735,0.6608209816381992,0.2929462382962906,0.411408778684079,0.3304844995397503,0.8169366029416534,120690785.42,72776598,0.23647578286872,0.0
74,4130,종합운동장,9호선(연장),Low Demand / Peripheral,Morphology-Supported Hidden Demand,Stable Dense Urban Area,M-S-H+V+T-,Morphology-Supported Hidden Demand,0.3427176669104026,0.0505031973718293,0.29221446953857333,0.6602509096290445,0.2469580501184378,0.3996130983059807,0.2667110249946092,0.7834106478168856,98464883.75,41089199,0.2150753573535209,0.0
75,4704,가오리,우이신설선,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,M+S-H+V-T-,High Priority Hidden Demand,0.31453761486020626,0.024535476435484,0.2900021384247223,0.6586750172101082,0.2814115498328685,0.4300056148595125,0.2667901227589774,0.2704298916874179,98729262.22,19963731,0.2417609573901456,0.0205167710611096
76,2516,발산,5호선,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S+H+V+T+,Morphology-Supported Hidden Demand,0.4981003406524317,0.2106432447708373,0.2874570958815944,0.6568621270760433,0.4658275651099777,0.4597150857071541,0.5271906533678767,0.681110342525778,191438578.78,171367611,0.3073910887393377,0.0120593448024551
