station_id,station_name,mobility_cluster,visual_cluster_pca8,mob_vis_agreement_pca8,mob_vis_mismatch_pca8,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share,mapped_cell_count,active_cell_count
153,종로3가,3,1,-0.3652152862067963,1.3652152862067963,68492102.08000001,189993249,-0.0493460667627708,0.0,3,3
202,을지로입구,2,1,-0.3575300534375636,1.3575300534375636,251067436.83,417701659,0.1665068283330752,0.0,7,7
2826,수진,0,3,-0.3536864135158776,1.3536864135158777,163953600.81,40535367,0.3935806809513338,0.2123493109513731,47,34
2635,청구,3,1,-0.35096444797301907,1.350964447973019,37933435.62,36048780,0.0569072672282286,0.0,5,5
232,구로디지털단지,2,0,-0.3463091940613751,1.3463091940613752,290029165.87,527334634,0.1375390278319765,0.0654703815495271,37,36
342,오금,3,3,-0.3450814551143343,1.3450814551143342,24707519.08,54025343,-0.0011027191494971,0.0,8,8
220,선릉,2,1,-0.34424600208307926,1.3442460020830793,142099056.42,435697880,-0.1515012669430928,0.0,8,8
426,서울역,3,1,-0.33755551582595167,1.3375555158259518,68301765.66,135602721,0.0169947022075224,0.00026464030359,10,10
2627,공덕,3,3,-0.33251440643144914,1.3325144064314491,6638818.28,146941316,-0.1643791134680297,0.0,1,1
2811,암사,0,2,-0.3310868978813277,1.3310868978813277,150583863.26,167541508,0.2011594874774215,0.0211241454504837,56,26
4134,송파나루,5,3,-0.3246396391710538,1.3246396391710538,96112123.17,35111412,0.2160347770632787,0.0,12,12
2724,사가정,0,5,-0.3220933383029646,1.3220933383029645,119710464.12,150632993,0.1381117006467868,0.0562403926798842,58,36
334,도곡,3,3,-0.3194073415094338,1.3194073415094338,69452178.71000001,52593660,0.1221543715970513,0.0,4,4
4113,당산,3,4,-0.3147136453753832,1.3147136453753832,92332063.1,92707994,0.1349720802263187,0.0,13,11
228,서울대입구(관악구청),2,0,-0.31466049183750655,1.3146604918375067,226481265.15,456459609,0.0521050434399781,0.0,26,26
4112,선유도,4,2,-0.30992233721435813,1.309922337214358,83771774.48,35027636,0.1826294355405223,0.0,30,18
4704,가오리,4,5,-0.30841810113681417,1.3084181011368141,98729262.22,19963731,0.2417609573901456,0.0205167710611096,36,23
429,신용산,3,4,-0.29148947604161146,1.2914894760416114,54447338.12,155918493,-0.0455972976307047,0.0,8,7
2514,송정,4,4,-0.2898658476831718,1.289865847683172,60632369.51,69504583,0.0774183920844502,0.1169633723259053,34,25
2641,고려대(종암),0,0,-0.2879822683734628,1.2879822683734627,122419705.0,81200234,0.2308159469851542,0.0,26,25
154,종로5가,0,1,-0.28769229930050433,1.2876922993005042,166010835.2,150549890,0.2639353933121137,0.0,11,11
2534,광화문(세종문화회관),2,1,-0.2866421744601312,1.2866421744601313,203631362.42,308591322,0.1718214125455266,0.0,8,8
206,신당,3,1,-0.28589510769209037,1.2858951076920904,86714066.8,139820018,0.06180651548266,0.0,11,11
2613,불광,3,1,-0.28565642285668147,1.2856564228566816,74999090.47,47134938,0.1439260954026011,0.0,6,6
4138,중앙보훈병원,1,5,-0.2844283203525536,1.2844283203525535,111209893.78,59867078,0.2266004414994352,0.5501715076811217,130,74
2729,건대입구,0,0,-0.2840942605249443,1.2840942605249444,148176678.8,136598460,0.2326587757394479,0.0,11,11
4705,화계,4,5,-0.28351009605911054,1.2835100960591106,75904011.81,15651716,0.1850828873344729,0.0302237910130826,43,21
2631,이태원,0,1,-0.2803697275757007,1.2803697275757007,123250074.33,131413586,0.1713477322115209,0.0,19,19
