station_id,station_name,mobility_visual_cluster,mobility_visual_pca_x,mobility_visual_pca_y
2713,수락산,1,-22.868070889924468,-2.478211837164036
2736,고속터미널,5,9.24193143695428,-6.644986115811689
336,학여울,3,10.371585944384206,9.378061282344625
2531,애오개,4,0.18776300117850322,-8.741080304532009
4705,화계,1,-15.758610415309928,-1.4362503171467662
332,양재(서초구청),0,4.933840039252474,-5.080115002986826
2527,여의도,3,15.099978680741621,-3.5341405371859103
4708,솔샘,1,-27.85029514646078,-4.22989533623585
219,삼성(무역센터),0,17.80296537003219,-8.743114785643701
2751,천왕,1,-19.92448455745667,-1.7025463201168056
2530,공덕,5,5.885547515315193,-5.912959907083337
209,한양대,3,5.140822661871544,6.036788426345723
4137,둔촌오륜,1,-11.166574190455137,0.6337795240584201
206,신당,0,9.901822307944506,-7.9577511538069094
433,사당,0,1.7192911905809698,-7.760141557745424
210,뚝섬,3,11.326968533218743,4.48470354777938
328,잠원,2,-3.1245329911469053,18.045548929355018
2613,불광,4,5.88737064361356,-18.509601764880184
2520,신정(은행정),0,11.908545214693566,-7.12826652935956
316,독립문,1,-24.027980378227266,-9.932074185116873
337,대청,3,7.647217890998063,9.98931833242205
224,서초,4,1.066962369845184,-7.350981343559849
2715,노원,0,8.75660754446553,2.129172310805875
2511,방화,2,-13.112005141462319,20.49009363820277
212,건대입구,0,13.395003245253836,-5.182136723175185
157,제기동,0,14.232895909463261,-1.914687938346961
4117,노량진,3,8.071252923453518,17.319188230026754
2628,효창공원앞,4,2.741564766494649,-7.41857265058228
4703,4.19민주묘지,1,-22.11910166452892,3.1612842720469874
2720,먹골,4,-6.128743758542933,-0.8730934253393327
2630,녹사평(용산구청),4,-4.295383978861153,-7.401859770926826
322,동대입구,4,4.623149848074679,-4.702333704877727
220,선릉,0,15.992393686961627,-6.986233255041108
4711,성신여대입구(돈암),4,-0.43778584611481086,-12.854273643923394
334,도곡,3,9.166678416242927,5.293483359140824
4121,구반포,2,1.109261391806643,20.997122249672707
2532,충정로(경기대입구),4,3.1777093489955037,-16.64603806311272
2614,독바위,1,-28.940730037950065,-4.036669834133177
201,시청,5,14.999150467776099,-10.68216916123297
236,영등포구청,0,11.456011638540584,-7.988483559322562
339,수서,3,9.429130513279166,12.570666956708283
2759,삼산체육관,3,12.998592073869853,-3.1032128974668196
418,성신여대입구(돈암),4,-0.677679415935988,-12.75737894324689
239,홍대입구,0,9.98107000806846,-8.0893353083925
2822,산성,1,-19.756209944256145,1.398184409044589
4707,삼양사거리,0,5.50937572373662,-10.862043082215155
4105,마곡나루,2,3.0427416019449027,16.470453319376517
208,왕십리(성동구청),5,11.280369372591316,-9.335720765310576
427,숙대입구(갈월),4,-7.376427956658027,-13.578354536826447
2721,중화,4,0.7626942055022896,-4.6272136202531255
4701,북한산우이,1,-31.712940691244413,1.27283543199751
250,용두(동대문구청),0,9.91930174362277,0.23875314258103805
324,금호,4,-3.0685032172594267,-7.542949185680413
330,교대(법원.검찰청),0,14.126121103038116,-11.360771089665292
426,서울역,4,0.041342553783833204,-0.7199421249371935
2638,창신,4,-3.772265231998539,-7.88398662870851
2620,월드컵경기장(성산),2,-2.8907623657861024,12.856575025735655
329,고속터미널,5,18.96931094520046,1.5198050132872793
