station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank,STATION_ID,observed_steps,coverage,sparsity,temporal_entropy,subway_total,subway_norm,MASTER_STATION_ID,cell_total,cell_imbalance,cell_norm,hidden_demand_score,observation_bias_score
326,0.1471325817798811,0.08573533298654691,186.0,145.0,326,808,0.9630512514898689,0.03694874851013108,6.4605712890625,1136341,0.31572378,326.0,4895844.5600000005,0.0459054786506276,0.63600665,0.32028288,0.3005870061056643
327,0.14192669878876402,0.07642559251260189,204.0,191.0,327,811,0.966626936829559,0.033373063170440975,6.475877285003662,1015600,0.28217667,327.0,4502147.57,0.020811692153547032,0.5848493,0.30267262,0.25624131340567535
328,0.16744333323357358,0.09538992511714613,116.0,107.0,328,802,0.9558998808104887,0.04410011918951129,6.4972429275512695,193764,0.053834714,328.0,1546146.0999999999,0.06859248584068375,0.20074359,0.14690888,0.28764805645283414
329,0.1874828678600136,0.13017723995098285,74.0,23.0,329,810,0.965435041716329,0.03456495828367101,6.48910665512085,1796133,0.49904284,329.0,2688055.9400000004,0.01702587662258127,0.34912443,-0.1499184,0.12097356013767198
330,0.14774526159264267,0.07142743639877099,184.0,223.0,330,803,0.9570917759237187,0.042908224076281254,6.429892063140869,388461,0.10793005,330.0,1269619.42,0.0860673621634713,0.16481143,0.056881383,0.28793945001570725
331,0.1783715169048972,0.10612560265165348,94.0,74.0,331,810,0.965435041716329,0.03456495828367101,6.471051216125488,1103274,0.30653632,331.0,4406273.36,0.016059075873161553,0.57239133,0.265855,0.23885435653043066
332,0.12948320929020168,0.091287243425373,263.0,125.0,332,811,0.966626936829559,0.033373063170440975,6.422038555145264,1399724,0.38890308,332.0,2997898.37,0.07982193548967144,0.38938564,0.0004825592,0.2590895312903749
333,0.15966832723675495,0.08237101096282932,140.0,163.0,333,804,0.9582836710369488,0.04171632896305122,6.369597434997559,362042,0.10058969,333.0,3305251.88,0.09000941894382797,0.4293235,0.3287338,0.3715630146213405
334,0.17199149617245257,0.09860138634685427,103.0,100.0,334,811,0.966626936829559,0.033373063170440975,6.463098526000977,212565,0.059058454,334.0,1594787.29,0.03200972378373337,0.20706406,0.1480056,0.2288452702639924
335,0.23953580636353725,0.14497567167254313,7.0,11.0,335,810,0.965435041716329,0.03456495828367101,6.512543201446533,401245,0.111482,335.0,2560075.92,0.12231955499517956,0.3324946,0.22101259,0.3873126063973931
336,0.2412562988048035,0.13359633348660455,6.0,21.0,336,792,0.9439809296781884,0.05601907032181164,6.304306507110596,103459,0.02874404,336.0,1722742.28,0.03809875259226222,0.22369066,0.19494662,0.2591131338061536
337,0.16196038512483468,0.09832203186464508,132.0,101.0,337,803,0.9570917759237187,0.042908224076281254,6.481163501739502,303328,0.08427638,337.0,1672152.36,0.06423765802685882,0.21711697,0.13284059,0.27660067962615037
