MASTER_STATION_ID,nearest_station,nearest_line,mapped_cell_count,active_cell_count,surrounding_total_flow,surrounding_outflow,surrounding_inflow,surrounding_netflow,mean_cell_flow,median_cell_flow,max_cell_flow,mean_distance_m,min_distance_m,max_distance_m,mean_directional_imbalance,morning_peak_flow,daytime_flow,evening_peak_flow,night_flow,mean_temporal_entropy,active_cell_ratio,station_abs_net_flow,station_directional_imbalance,dominant_period,period_entropy,distance_band_entropy,outer_1km_plus_share,subway_out_sum,subway_in_sum,subway_net_sum,subway_record_count,subway_file_count,subway_total_activity,subway_abs_net_flow,subway_directional_imbalance,mobility_norm,subway_norm,mobility_minus_subway_gap,hidden_demand_score,subway_overrepresentation_score,distance_norm,distance_weighted_hidden_demand,outer_hidden_demand_score,diverse_living_area_score,directional_mismatch_score,station_type
2626,대흥(서강대앞),6호선,15,15,178231405.17,88994286.84,89237118.33,242831.48999999982,11882093.678,9414968.45,47363302.32,375.89785028666665,133.0874779,687.7284034,0.04847656531052866,31308212.1,0.0,38765526.82,108157666.25,0.9231466532628098,1.0,242831.48999999982,0.0013624506285431753,night,0.9404295591992365,0.9238537916929853,0.0,41730262,42173603,443341,241730,6096,83903865,443341,0.005283916301114377,0.48217228351653885,0.10313158405045032,0.37904069946608854,0.43244509213225535,0.05340439266616683,0.1305049944130706,0.0629258911664634,0.0,0.15890156147015128,0.0018908220580753762,mobility_high_subway_low
310,구파발,3호선,145,65,203777136.62,101952781.85,101824354.77,-128427.08,1405359.5628965518,0.0,22741304.04,1728.842225417931,99.5922768,4283.235077,0.025113399370166163,31851464.82,0.0,41209713.19,130715958.61,0.38942156136859474,0.4482758620689655,128427.08,0.0006302330189254182,night,0.8981385450592783,1.5641847965137308,0.2979221372278403,92676660,86096672,-6579988,245424,6096,178773332,6579988,0.03680631739861514,0.551537790886734,0.21974646067405101,0.33179133021268303,0.43033931341138937,0.09854798319870633,0.6095227031078784,0.3361748051674299,0.1282076079846825,0.20364805113776976,0.019952477661706155,diverse_living_area_hidden
2517,우장산,5호선,46,35,190743877.69,96363814.22,94380063.47,-1983750.75,4146606.0367391305,3046824.215,21014210.049999997,869.3966636726087,18.72836224,1911.335649,0.06838505312534714,36977440.67,0.0,37255957.32,116510479.7,0.70067150640428,0.7608695652173914,1983750.75,0.01040007560936778,night,0.9381343327135957,1.2252778844604906,0.21426904425432414,70089065,67232798,-2856267,240635,6096,137321863,2856267,0.020799797917102247,0.5161479794759287,0.16879373482705107,0.34735424464887765,0.4290254342967506,0.08167118964787295,0.3052310771530245,0.1575444037457949,0.09192686976756109,0.20636365433194526,0.0053677956562478875,diverse_living_area_hidden
333,매봉,3호선,29,29,179798030.38,89721611.68,90076418.7,354807.01999999996,6199932.082068966,5347477.869999999,40427929.61,577.722983004138,75.42952852,1139.370914,0.053181959402987505,34753966.89,0.0,38808129.93,106235933.56,0.9461593110157629,1.0,354807.01999999996,0.0019733643313562532,night,0.9595138154493494,1.0470677415179441,0.05000603666790847,51700022,47600847,-4099175,242957,6096,99300869,4099175,0.04128035374997574,0.4864262134837933,0.12205779686276734,0.3643684166210259,0.42705410152966333,0.06268568490863739,0.20196233915569445,0.0982397759018341,0.02135528306027305,0.19705807778418571,0.019119950026346606,diverse_living_area_hidden
2544,장한평,5호선,39,34,200298569.81,100284984.09,100013585.72,-271398.37,5135860.764358974,5862418.98,17818678.63,664.6280634110256,95.28009333,1479.74695,0.01739151500301995,36907471.65,0.0,42661187.15,120729911.01,0.8274989509825027,0.8717948717948718,271398.37,0.0013549690856876518,night,0.9461943723767785,1.33804319948003,0.26591629960475555,87325883,85517116,-1808767,243557,6096,172842999,1808767,0.010464797593566402,0.5420922773703547,0.21245681234987662,0.3296354650204781,0.42692108012076396,0.09728561510028591,0.232731580859668,0.12616199268422026,0.11352527384897891,0.23461442627884022,0.004938367682289372,diverse_living_area_hidden
413,쌍문,4호선,42,42,239649333.77,120548765.25,119100568.52,-1448196.73,5705936.518333334,5107309.585,22110372.259999998,659.1028594678571,79.79599505,1300.028883,0.07097062485081565,43214786.38,0.0,47558805.72,148875741.67,0.9213126977053346,1.0,1448196.73,0.0060429824995461325,night,0.925576233837565,1.2011998472866232,0.15018089974972185,149900719,133187318,-16713401,244818,6096,283088037,16713401,0.05903958774492474,0.6489432286861445,0.3479715560422194,0.3009716726439251,0.423129443617165,0.12215777097323986,0.2307753507429115,0.14976010121228242,0.06354596055302504,0.18516051196653083,0.03439178811734105,mobility_high_subway_low
4109,등촌,9호선,37,34,166628277.6,83656783.12,82971494.48,-685288.6399999999,4503466.962162162,3872408.9,15149764.78,713.6051509702703,104.74263,1346.590458,0.08830115962647096,33067519.64,0.0,32924863.84,100635894.12,0.8501367153403696,0.918918918918919,685288.6399999999,0.004112679131480141,night,0.9458925625980016,1.2023269478454008,0.061166233167616914,18968073,32499090,13531017,237849,6096,51467163,13531017,0.26290582599239054,0.4506657740024357,0.06325993596997252,0.38740583803246315,0.4221566859951835,0.034750847962720335,0.2500721993598914,0.11269898128101685,0.025821734288849832,0.20812021200246977,0.11662921383659818,directional_mismatch
2739,남성,7호선,30,27,178544655.85,89798541.26,88746114.59,-1052426.67,5951488.528333333,2967178.88,67696495.67,568.8084544166667,141.5854693,1000.927988,0.044175341988612254,32599488.21,0.0,33318953.89,112626213.75,0.8383769327531951,0.9,1052426.67,0.00589447309408225,night,0.9144147970185024,1.018686505466647,0.000188160434374603,53743763,48949439,-4794324,243117,6096,102693202,4794324,0.046685894554149746,0.4830228675914082,0.1262277000652505,0.3567951675261577,0.4220520019364227,0.06525683441026502,0.19880609922701997,0.09602789214329724,7.94134880130281e-05,0.1458250517925559,0.01970318936677151,mobility_high_subway_low
2826,수진,8호선,47,34,163953600.81,82093870.13,81859730.68,-234139.44999999998,3488374.485319149,1696241.04,18721512.57,1092.8383099787234,94.0148839,2613.421773,0.010587708455339124,30163275.44,0.0,33417184.830000002,100373140.54,0.6662934007881175,0.723404255319149,234139.44999999998,0.0014280836092848968,night,0.9360429922142623,1.3519598714670924,0.21234931095137316,20907825,19627542,-1280283,241097,6096,40535367,1280283,0.03158434460455237,0.44340310027736474,0.04982241932603089,0.39358068095133386,0.4213116850848837,0.0277310041335499,0.3843418723992564,0.1704183777882376,0.08946524602353698,0.22092429187409307,0.013371379618074965,diverse_living_area_hidden
221,역삼,2호선,21,21,321518950.32,158730445.77,162788504.54999998,4058058.78,15310426.205714285,12658983.3,35148068.6,483.00608623809524,120.7182503,891.7102353,0.011663114776685468,63760874.800000004,0.0,75373115.28,182384960.24,0.9708949448879916,1.0,4058058.78,0.01262152285568584,night,0.9825151033869507,1.0932402265804853,0.0,202876010,220667657,17791647,245064,6096,423543667,17791647,0.04200664154895745,0.8712475890568503,0.5206215822465419,0.3506260068103084,0.417657290713588,0.06703128390327957,0.1684272791062741,0.14674186085274654,0.0,0.22486116589178992,0.02560171381566228,diverse_living_area_hidden
