station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank
2628,0.19455736348523736,0.12393352547253939,55.0,35.0
2629,0.17007914636254537,0.08943488719939652,111.0,131.0
2630,0.20647510073059014,0.11565483338310428,37.0,54.0
2631,0.17620730661447095,0.10950100354643331,96.0,66.0
2632,0.22154900855532594,0.09413155939814354,19.0,111.0
2633,0.20293130865764047,0.11079615219348364,43.0,65.0
2634,0.19745932954644402,0.10195373716719798,51.0,91.0
2635,0.19761608015110205,0.10709004950901821,50.0,73.0
2636,0.23684395327572774,0.10225166800572347,10.0,88.0
2637,0.1868895267690753,0.10116010623030543,78.0,94.0
2638,0.17096123855324494,0.09465666914225689,105.0,108.0
2639,0.16315592321759415,0.07862723064350172,127.0,180.0
2640,0.17441614465935837,0.08469913964832407,98.0,151.0
2641,0.19020402803425754,0.09460192430978791,66.0,109.0
2642,0.13594062801982676,0.07353969996920715,232.0,208.0
2643,0.1336733714307821,0.07370388571779052,242.0,205.0
2644,0.14568242453119995,0.07364217916924862,192.0,206.0
2645,0.13348464487445735,0.05997722481880043,243.0,295.0
2646,0.15567830489830137,0.07838157664777509,152.0,181.0
2647,0.13202454325935195,0.060978205353095546,249.0,293.0
2648,0.12831783072638597,0.06453975712111781,264.0,273.0
2711,0.25102633957470216,0.14246479368635584,3.0,14.0
2712,0.1799176105346147,0.07040393124888873,88.0,233.0
2713,0.1340132091992668,0.0658516379302397,239.0,264.0
2714,0.14737031543479553,0.06781579833219034,185.0,252.0
2715,0.18995855899143305,0.14596287032057137,67.0,9.0
2716,0.1464397653819077,0.06186057202451461,190.0,288.0
2717,0.14868351394044493,0.07192440603431019,179.0,219.0
2718,0.1372636035202988,0.06797382876661326,224.0,250.0
2719,0.17864653754033266,0.08848418077816149,92.0,133.0
2720,0.11881051338203835,0.06220240861118317,287.0,285.0
2721,0.12454849237590906,0.06431439520702475,273.0,274.0
2722,0.13399962640943983,0.07440749065810078,240.0,198.0
2723,0.12126133796271116,0.06264169230606288,282.0,281.0
2724,0.12261106527395665,0.06168368540238588,278.0,289.0
2725,0.1374366688009884,0.06817374021768395,222.0,249.0
2726,0.13444414808754881,0.0697331858968865,237.0,235.0
2727,0.17146715308347377,0.09927864432600991,104.0,96.0
2728,0.18697401688448972,0.11110710669308896,77.0,63.0
2729,0.1793217948327462,0.10910636070997472,90.0,69.0
2730,0.17236845246885746,0.08147703961077489,102.0,165.0
2731,0.13640483445118343,0.07768826141864767,229.0,186.0
2732,0.14139628661500797,0.07296108469581376,207.0,213.0
2733,0.13116919859829876,0.07062373550253966,254.0,230.0
2734,0.1565560450629582,0.0664989056250465,148.0,258.0
2735,0.18715203547229367,0.10161568465206537,76.0,93.0
2736,0.1520216774018037,0.07785374360262519,168.0,184.0
2737,0.15275225929088063,0.08554119544162872,164.0,146.0
2738,0.1793778070352143,0.13391362030820417,89.0,19.0
2739,0.12543753457093046,0.061399823133759815,270.0,291.0
2740,0.15571305779888037,0.07274977304558788,151.0,214.0
2741,0.14296596380364568,0.0775402607850819,201.0,188.0
2742,0.13851125407077017,0.06888093940566277,220.0,243.0
2743,0.13061864709274637,0.06928840690395899,256.0,237.0
2744,0.21275153064597682,0.12609671741457926,27.0,32.0
2745,0.13989824855493177,0.06605763707775625,215.0,262.0
2746,0.2118430860340594,0.13374755370970226,29.0,20.0
2747,0.22751366445232948,0.12112313281885158,15.0,40.0
2748,0.15409403054250614,0.0678604500826507,160.0,251.0
2749,0.1319258643535986,0.05787330151143824,250.0,300.0
2750,0.11604785568539107,0.06471992389350716,297.0,271.0
2751,0.13999916189719766,0.07045831748964412,214.0,231.0
2752,0.14450325118821292,0.062465185745589666,196.0,283.0
2753,0.1419703122450128,0.07138295590264042,203.0,224.0
2754,0.18467779755296687,0.08944868165999655,81.0,130.0
2755,0.2182385742013888,0.10756780099537637,23.0,70.0
2756,0.15955467016569203,0.1021878638423033,141.0,89.0
2757,0.16895079123713672,0.11599350457545364,114.0,53.0
2758,0.17051876965496288,0.11277452982806915,106.0,60.0
2759,0.17013776828756652,0.07915452031699556,109.0,174.0
